%time,field.steer,field.throttle,field.brake,field.handbrake,field.clutch,field.manual_gear,field.automatic_gear
259528000000,-0.37668588757514954,0.9458233118057251,0.0,0.0,0.0,0,2
259624000000,-0.4752001166343689,0.8803839087486267,0.0,0.0,0.0,0,2
259752000000,-0.5512863993644714,0.9575638175010681,0.0,0.0,0.0,0,2
259848000000,-0.5587633848190308,0.971305251121521,0.0,0.0,0.0,0,2
259932000000,-0.5670338273048401,0.9826831817626953,0.0,0.0,0.0,0,2
260092000000,-0.54104083776474,0.9527889490127563,0.0,0.0,0.0,0,2
260148000000,-0.45358559489250183,0.9541646242141724,0.0,0.0,0.0,0,2
260248000000,-0.3977091610431671,0.9604986906051636,0.0,0.0,0.0,0,2
260340000000,-0.34860196709632874,0.9615201354026794,0.0,0.0,0.0,0,2
260464000000,-0.28662198781967163,0.9481451511383057,0.0,0.0,0.0,0,2
260556000000,-0.19233788549900055,0.9729406237602234,0.0,0.0,0.0,0,2
260656000000,-0.11400363594293594,0.9412469863891602,0.0,0.0,0.0,0,2
260780000000,-0.05907605588436127,0.9310015439987183,0.0,0.0,0.0,0,2
260840000000,-0.043924130499362946,0.9303737878799438,0.0,0.0,0.0,0,2
260964000000,-0.005793113261461258,0.9065014123916626,0.0,0.0,0.0,0,2
261056000000,0.04657863453030586,0.9326928853988647,0.0,0.0,0.0,0,2
261156000000,0.11028113216161728,0.927324652671814,0.0,0.0,0.0,0,2
261248000000,0.16306383907794952,0.9134849309921265,0.0,0.0,0.0,0,2
261336000000,0.1868855506181717,0.9217525720596313,0.0,0.0,0.0,0,2
261436000000,0.24486158788204193,0.8737484812736511,0.0,0.0,0.0,0,2
261560000000,0.26170116662979126,0.8641636967658997,0.0,0.0,0.0,0,2
261688000000,0.2482536882162094,0.874752938747406,0.0,0.0,0.0,0,2
261692000000,0.26061591506004333,0.8675654530525208,0.0,0.0,0.0,0,2
261812000000,0.25700485706329346,0.8864893317222595,0.0,0.0,0.0,0,2
261936000000,0.2967927157878876,0.8725758194923401,0.0,0.0,0.0,0,2
262000000000,0.31690713763237,0.8954828381538391,0.0,0.0,0.0,0,2
262116000000,0.25703078508377075,0.8814229369163513,0.0,0.0,0.0,0,2
262208000000,0.16066892445087433,0.8444125056266785,0.0,0.0,0.0,0,2
262308000000,0.0797797441482544,0.900728702545166,0.0,0.0,0.0,0,2
262432000000,0.038766562938690186,0.8884146809577942,0.0,0.0,0.0,0,2
262556000000,0.03369986638426781,0.8719430565834045,0.0,0.0,0.0,0,2
262616000000,0.09682901948690414,0.8894500136375427,0.0,0.0,0.0,0,2
262708000000,0.11440842598676682,0.8694208860397339,0.0,0.0,0.0,0,2
262808000000,0.03493748605251312,0.8211314678192139,0.0,0.0,0.0,0,2
262932000000,-0.07515212893486023,0.9649924039840698,0.0,0.0,0.0,0,2
263056000000,-0.17155253887176514,0.9879168272018433,0.0,0.0,0.0,0,2
263124000000,-0.2735753059387207,0.9709718823432922,0.0,0.0,0.0,0,2
263232000000,-0.20349442958831787,0.9186041355133057,0.0,0.0,0.0,0,2
263324000000,-0.07762251049280167,0.9877161979675293,0.0,0.0,0.0,0,2
263424000000,0.0557062029838562,0.9938671588897705,0.0,0.0,0.0,0,2
263548000000,0.17558857798576355,0.8097332119941711,0.0,0.0,0.0,0,2
263640000000,0.3089078366756439,0.5461462736129761,0.0,0.0,0.0,0,2
